state_name,month_of_crash,timestamp_of_crash,latitude,longitude,route_signing_name,first_harmful_event_name,number_of_fatalities,number_of_drunk_drivers,age,sex,person_type_name,police_reported_alcohol_involvement,police_reported_drug_involvement,non_motorist_safety_equipment_use
Texas,1,2016-01-23 21:10:00 UTC,32.92486667,-96.76928333,Interstate,Pedestrian,1,0,47,Male,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),Not Reported
Texas,4,2016-04-23 02:00:00 UTC,29.97812778,-95.56532778,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,24,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,Not Reported
Texas,9,2016-09-08 20:45:00 UTC,29.77545556,-95.64404722,State Highway,Pedestrian,1,0,40,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,3,2016-03-16 16:19:00 UTC,29.350925,-95.02482778,State Highway,Pedalcyclist,1,0,42,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-15 18:05:00 UTC,33.01836111,-96.97920556,Local Street – Municipality,Pedestrian,1,0,70,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-21 13:02:00 UTC,31.68881667,-106.29622222,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,81,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,5,2016-05-01 03:20:00 UTC,30.26168333,-97.73607778,Interstate,Pedestrian,1,0,26,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,12,2016-12-26 10:38:00 UTC,35.15769167,-101.92012222,Local Street – Municipality,Pedestrian,1,0,66,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,4,2016-04-14 20:40:00 UTC,32.84874167,-96.569525,Local Street – Municipality,Pedestrian,1,0,51,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-24 14:50:00 UTC,29.99758056,-95.48083056,County Road,Pedestrian,1,0,54,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,6,2016-06-01 22:12:00 UTC,33.55679444,-101.85541111,U.S. Highway,Pedestrian,1,0,55,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-11 21:16:00 UTC,32.86840833,-96.68304722,Local Street – Municipality,Pedestrian,1,0,63,Male,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),Not Reported
Texas,2,2016-02-11 21:16:00 UTC,32.86840833,-96.68304722,Local Street – Municipality,Pedestrian,1,0,63,Male,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),Not Reported
Texas,11,2016-11-13 23:06:00 UTC,31.76512222,-106.36574722,Interstate,Pedestrian,1,0,54,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,6,2016-06-18 17:29:00 UTC,29.40719444,-98.50988611,Interstate,Pedestrian,1,0,40,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,6,2016-06-25 21:16:00 UTC,30.06765,-94.17111944,U.S. Highway,Pedestrian,1,0,25,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,Not Reported
Texas,7,2016-07-02 18:45:00 UTC,32.79965833,-97.37543056,Local Street – Municipality,Pedestrian,1,0,77,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-03 22:29:00 UTC,30.35890556,-97.73010556,Local Street – Municipality,Pedestrian,1,0,63,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-06 22:20:00 UTC,32.73444444,-96.75755556,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,31,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-28 05:40:00 UTC,32.68807222,-97.06233333,State Highway,Pedestrian,1,0,32,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,12,2016-12-14 17:40:00 UTC,29.67698889,-95.50259722,Local Street – Municipality,Pedestrian,1,0,48,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,3,2016-03-18 00:55:00 UTC,31.57569722,-94.69919722,State Highway,Pedestrian,1,1,36,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,9,2016-09-30 06:00:00 UTC,29.85685,-95.40096111,Interstate,Pedestrian,1,0,38,Male,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,1,2016-01-07 13:00:00 UTC,29.70498056,-95.53181389,Local Street – Municipality,Pedestrian,1,0,78,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,12,2016-12-22 19:24:00 UTC,29.82526944,-95.335875,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,33,Female,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,7,2016-07-28 22:35:00 UTC,29.77091944,-95.15235,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,45,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,Not Reported
Texas,10,2016-10-20 07:48:00 UTC,26.22902222,-98.23537778,Local Street – Municipality,Pedestrian,1,0,52,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-20 07:48:00 UTC,26.22902222,-98.23537778,Local Street – Municipality,Pedestrian,1,0,52,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-31 05:05:00 UTC,30.0214,-95.42868889,Interstate,Pedestrian,1,0,30,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),Not Reported
Texas,4,2016-04-30 04:45:00 UTC,30.06383611,-95.43351667,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,19,Male,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,6,2016-06-28 23:43:00 UTC,29.31700556,-98.47626944,U.S. Highway,Pedestrian,1,0,35,Male,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),Not Reported
Texas,1,2016-01-15 06:30:00 UTC,29.67906944,-95.44258889,Interstate,Pedestrian,1,0,56,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,11,2016-11-24 18:37:00 UTC,30.33001667,-97.70549444,Interstate,Pedestrian,1,0,39,Female,Pedestrian,Not Reported,No (Drugs Not Involved),Not Reported
Texas,9,2016-09-25 16:10:00 UTC,30.32866389,-95.47385833,Local Street – Municipality,Pedestrian,1,0,64,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-19 22:49:00 UTC,33.58186389,-96.18575278,Local Street – Municipality,Pedalcyclist,1,0,21,Male,Bicyclist,Not Reported,Not Reported,None Used
Texas,3,2016-03-06 03:39:00 UTC,29.37090556,-98.53404444,Local Street – Municipality,Pedestrian,1,0,60,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),Not Reported
Texas,3,2016-03-21 16:36:00 UTC,29.76923611,-95.301225,Local Street – Municipality,Pedestrian,1,0,69,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-25 23:09:00 UTC,29.45955278,-98.63908056,Local Street – Municipality,Pedestrian,1,0,60,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-18 18:15:00 UTC,31.03790833,-97.47188333,Local Street – Frontage Road (Since 1994),Pedalcyclist,1,0,12,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-21 21:29:00 UTC,33.60310833,-102.01780278,County Road,Pedestrian,2,0,6,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-21 21:29:00 UTC,33.60310833,-102.01780278,County Road,Pedestrian,2,0,6,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-21 21:29:00 UTC,33.60310833,-102.01780278,County Road,Pedestrian,2,0,6,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,9,2016-09-30 23:03:00 UTC,32.67485833,-96.80097778,Local Street – Municipality,Non-Motorist on Personal Conveyance,1,0,54,Male,Person on Personal Conveyances (Since 2007),Not Reported,Not Reported,Not Reported
Texas,11,2016-11-26 19:34:00 UTC,30.82178889,-93.73271944,U.S. Highway,Pedestrian,1,0,2,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,5,2016-05-15 06:24:00 UTC,29.71974444,-95.47653889,Local Street – Municipality,Pedestrian,1,0,19,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,10,2016-10-29 15:47:00 UTC,30.49610556,-97.65639722,Local Street – Municipality,Motor Vehicle in Transport,2,0,43,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-29 15:47:00 UTC,30.49610556,-97.65639722,Local Street – Municipality,Motor Vehicle in Transport,2,0,43,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,4,2016-04-15 22:08:00 UTC,26.16061111,-97.98262222,Local Street – Municipality,Pedestrian,1,0,60,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-02 22:15:00 UTC,32.702725,-97.265825,U.S. Highway,Pedestrian,1,0,46,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-24 22:03:00 UTC,30.08456944,-94.13602778,Interstate,Parked Motor Vehicle (Not In Transport),1,1,25,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-24 22:03:00 UTC,30.08456944,-94.13602778,Interstate,Parked Motor Vehicle (Not In Transport),1,1,25,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-23 22:07:00 UTC,29.70483333,-95.54536667,Local Street – Municipality,Pedestrian,1,0,71,Female,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),Not Reported
Texas,1,2016-01-01 05:24:00 UTC,32.8775,-96.5157,Interstate,Pedestrian,1,0,21,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-06 20:43:00 UTC,31.30568889,-95.5032,State Highway,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,23,Male,Occupant of a Non-Motor Vehicle Transport Device,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-12 20:16:00 UTC,29.83993056,-94.98808611,County Road,Pedestrian,1,0,45,Female,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,12,2016-12-28 19:02:00 UTC,29.83074167,-95.33534722,Interstate,Pedestrian,1,0,58,Male,Pedestrian,No (Alcohol Not Involved),Not Reported,Not Reported
Texas,8,2016-08-30 06:20:00 UTC,29.8143,-95.37892778,Interstate,Pedestrian,1,0,36,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,3,2016-03-12 09:45:00 UTC,30.77658333,-96.49085278,U.S. Highway,Pedalcyclist,1,0,21,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-09 17:59:00 UTC,31.77696389,-106.47125,Local Street – Municipality,Pedestrian,1,0,61,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,6,2016-06-29 03:26:00 UTC,32.93660556,-96.93034444,State Highway,Concrete Traffic Barrier,1,0,20,Male,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,7,2016-07-21 23:45:00 UTC,32.84004444,-97.28581667,Local Street – Frontage Road (Since 1994),Pedalcyclist,1,0,61,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-08 20:29:00 UTC,35.22194444,-101.81628611,U.S. Highway,Pedestrian,1,0,54,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,6,2016-06-03 16:53:00 UTC,32.82663889,-96.82275556,Local Street – Municipality,Pedestrian,1,0,72,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,5,2016-05-20 19:53:00 UTC,31.70024167,-106.34006111,State Highway,Pedestrian,1,0,15,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,5,2016-05-20 19:53:00 UTC,31.70024167,-106.34006111,State Highway,Pedestrian,1,0,15,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-20 23:35:00 UTC,29.77922222,-95.36819722,Interstate,Pedestrian,1,0,29,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,12,2016-12-24 01:12:00 UTC,34.77134722,-101.8485,Interstate,Pedestrian,1,0,35,Male,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),Not Reported
Texas,10,2016-10-03 19:00:00 UTC,32.3413,-96.85583056,Interstate,Pedestrian,2,0,27,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-03 19:00:00 UTC,32.3413,-96.85583056,Interstate,Pedestrian,2,0,27,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-05 19:39:00 UTC,32.921175,-96.75048333,Interstate,Pedestrian,1,0,35,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),Not Reported
Texas,4,2016-04-08 23:55:00 UTC,29.92171944,-95.58470833,County Road,Pedestrian,1,0,37,Male,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,2,2016-02-02 18:45:00 UTC,29.29652222,-98.38492778,Local Street – Municipality,Pedestrian,1,0,33,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-06 21:20:00 UTC,32.76238333,-97.06323889,State Highway,Pedestrian,1,0,41,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-23 07:56:00 UTC,30.10740556,-94.13683611,U.S. Highway,Pedestrian,1,0,44,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-24 04:37:00 UTC,32.72370556,-97.51595,Interstate,Motor Vehicle in Transport,1,0,23,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-13 05:08:00 UTC,29.54009722,-95.27265,State Highway,Pedestrian,1,0,20,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-17 03:45:00 UTC,32.44135278,-95.06188056,Interstate,Pedestrian,1,0,40,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,6,2016-06-15 22:53:00 UTC,32.31130556,-96.11223889,State Highway,Pedestrian,1,0,21,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-10 15:15:00 UTC,30.18096667,-96.44108889,County Road,Pedestrian,1,0,4,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-09 02:39:00 UTC,30.48753611,-94.99446389,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,69,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,5,2016-05-29 22:30:00 UTC,32.76659167,-96.48581944,U.S. Highway,Pedestrian,1,0,34,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),Not Reported
Texas,1,2016-01-07 22:33:00 UTC,29.42488611,-98.49293611,Local Street – Municipality,Pedestrian,1,0,71,Female,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,10,2016-10-02 20:28:00 UTC,32.78623889,-96.32106111,State Highway,Pedestrian,1,0,41,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-19 22:54:00 UTC,32.87672778,-96.68558333,Interstate,Pedestrian,1,0,48,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-09 10:26:00 UTC,33.66076944,-95.59440833,U.S. Highway,Pedestrian,1,1,21,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-09 10:26:00 UTC,33.66076944,-95.59440833,U.S. Highway,Pedestrian,1,1,21,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-09 10:26:00 UTC,33.66076944,-95.59440833,U.S. Highway,Pedestrian,1,1,21,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,3,2016-03-29 20:18:00 UTC,31.9947,-97.18381111,State Highway,Pedestrian,1,0,50,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,9,2016-09-02 05:50:00 UTC,29.71840833,-95.55708333,Local Street – Municipality,Concrete Traffic Barrier,1,0,29,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,9,2016-09-02 05:50:00 UTC,29.71840833,-95.55708333,Local Street – Municipality,Concrete Traffic Barrier,1,0,29,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,4,2016-04-28 04:40:00 UTC,26.903625,-97.79044444,U.S. Highway,Pedestrian,1,0,25,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-11 02:00:00 UTC,29.13335833,-98.89224722,Interstate,Pedestrian,1,0,29,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,Not Reported
Texas,11,2016-11-27 23:12:00 UTC,32.80394444,-97.41195278,State Highway,Pedestrian,1,0,61,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,3,2016-03-19 03:22:00 UTC,29.75549722,-94.94019444,State Highway,Pedestrian,1,1,50,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,5,2016-05-22 17:05:00 UTC,30.31723889,-97.69966944,Local Street – Municipality,Pedestrian,1,0,3,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-21 00:36:00 UTC,27.71618611,-97.38757778,State Highway,Pedestrian,1,0,39,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-19 05:38:00 UTC,31.07955556,-97.64750556,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,16,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-19 05:38:00 UTC,31.07955556,-97.64750556,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,16,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,3,2016-03-02 04:33:00 UTC,29.77724722,-95.88454167,Interstate,Pedestrian,1,0,82,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,9,2016-09-04 20:56:00 UTC,30.12221111,-97.432875,State Highway,Pedestrian,2,0,25,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,9,2016-09-04 20:56:00 UTC,30.12221111,-97.432875,State Highway,Pedestrian,2,0,25,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,3,2016-03-27 02:35:00 UTC,29.90928056,-95.62923889,State Highway,Pedestrian,1,0,48,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,10,2016-10-29 22:33:00 UTC,29.82854167,-95.38064167,Local Street – Frontage Road (Since 1994),Pedestrian,1,1,63,Male,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,12,2016-12-10 02:27:00 UTC,29.90541111,-95.41221389,Interstate,Pedestrian,1,0,20,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,12,2016-12-03 02:58:00 UTC,30.52559722,-97.63031667,U.S. Highway,Pedestrian,1,0,24,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,Not Reported
Texas,10,2016-10-02 20:41:00 UTC,33.02140556,-96.99304444,State Highway,Pedestrian,1,0,45,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,6,2016-06-10 23:45:00 UTC,32.77023056,-96.75679722,State Highway,Pedestrian,1,0,43,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),Not Reported
Texas,11,2016-11-06 04:26:00 UTC,32.51463056,-95.68633889,Interstate,Pedestrian,1,0,41,Male,Pedestrian,Not Reported,Yes (Drugs Involved),Not Reported
Texas,1,2016-01-12 23:31:00 UTC,32.71426389,-97.02402222,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,48,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,5,2016-05-17 21:40:00 UTC,30.72416111,-94.96896389,U.S. Highway,Pedalcyclist,1,0,55,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-03 21:40:00 UTC,27.66156111,-97.30533611,Local Street – Municipality,Pedestrian,1,0,34,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-02 23:16:00 UTC,29.86771944,-95.48808333,Local Street – Municipality,Pedestrian,1,0,65,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,10,2016-10-02 07:31:00 UTC,29.55535833,-95.40706389,Local Street – Municipality,Pedestrian,1,0,31,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-30 20:03:00 UTC,32.87883889,-96.66539722,Local Street – Municipality,Pedestrian,1,0,53,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,4,2016-04-29 17:35:00 UTC,27.80348889,-97.711,State Highway,Pedestrian,1,0,28,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,12,2016-12-02 08:16:00 UTC,29.739175,-98.06634167,Interstate,Pedestrian,1,0,17,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-16 03:50:00 UTC,29.48123889,-98.52600556,Interstate,Motor Vehicle in Transport,2,1,35,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-16 03:50:00 UTC,29.48123889,-98.52600556,Interstate,Motor Vehicle in Transport,2,1,35,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-14 19:05:00 UTC,30.23696944,-97.69564444,Local Street – Municipality,Pedestrian,1,0,27,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-29 15:18:00 UTC,32.46799167,-99.73984167,Local Street – Municipality,Pedalcyclist,1,0,60,Male,Bicyclist,Not Reported,Not Reported,None Used
Texas,6,2016-06-18 02:20:00 UTC,29.98772222,-95.42338611,Interstate,Pedestrian,1,0,52,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,1,2016-01-25 05:50:00 UTC,29.72396111,-95.49170278,Local Street – Frontage Road (Since 1994),Pedalcyclist,1,0,53,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,6,2016-06-13 00:19:00 UTC,29.46635,-98.60817222,Local Street – Municipality,Pedalcyclist,1,0,19,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-28 01:57:00 UTC,29.40278611,-98.51178889,Interstate,Pedestrian,1,0,34,Male,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,7,2016-07-27 19:14:00 UTC,31.70701944,-106.33161111,Local Street – Municipality,Pedestrian,1,0,46,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,8,2016-08-01 23:21:00 UTC,35.03180278,-101.91905556,Interstate,Parked Motor Vehicle (Not In Transport),1,1,28,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-14 19:36:00 UTC,27.79866111,-97.68167222,State Highway,Pedestrian,1,0,73,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-27 18:05:00 UTC,29.65698611,-95.50011389,Local Street – Municipality,Pedestrian,1,0,47,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-20 23:20:00 UTC,32.844675,-96.63519167,Interstate,Parked Motor Vehicle (Not In Transport),1,0,22,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,6,2016-06-07 21:45:00 UTC,32.35078611,-96.85421111,U.S. Highway,Pedestrian,1,0,38,Male,Pedestrian,Not Reported,Yes (Drugs Involved),Not Reported
Texas,10,2016-10-10 15:56:00 UTC,32.38145278,-95.27879167,U.S. Highway,Pedestrian,1,0,43,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-06 05:22:00 UTC,32.79076944,-97.01878056,State Highway,Pedestrian,1,0,23,Male,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,6,2016-06-22 20:57:00 UTC,29.85589167,-95.253925,Local Street – Municipality,Pedalcyclist,1,0,4,Male,Bicyclist,Not Reported,Not Reported,None Used
Texas,6,2016-06-16 03:20:00 UTC,32.43914167,-95.09121111,Interstate,Pedestrian,1,0,47,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,4,2016-04-24 02:28:00 UTC,29.72780278,-95.50126667,Local Street – Municipality,Pedestrian,1,1,54,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,2,2016-02-23 00:02:00 UTC,30.12112778,-93.76747778,Local Street – Frontage Road (Since 1994),Pedalcyclist,1,0,19,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-01 19:59:00 UTC,29.47080556,-98.65128889,Local Street – Municipality,Pedestrian,1,0,74,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,12,2016-12-28 01:00:00 UTC,29.52045833,-98.57985,Local Street – Municipality,Pedestrian,1,0,52,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,2,2016-02-13 03:18:00 UTC,26.16040833,-97.95697778,Interstate,Pedestrian,1,0,22,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,5,2016-05-18 00:04:00 UTC,28.30739722,-97.70332222,U.S. Highway,Pedestrian,1,0,40,Female,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),Not Reported
Texas,5,2016-05-01 06:30:00 UTC,29.38014444,-98.641975,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,74,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,2,2016-02-25 16:46:00 UTC,29.68329444,-95.22945,Local Street – Municipality,Pedestrian,1,0,12,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,10,2016-10-15 20:10:00 UTC,29.65590278,-95.56316389,Interstate,Motor Vehicle in Transport,1,1,62,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,10,2016-10-15 20:10:00 UTC,29.65590278,-95.56316389,Interstate,Motor Vehicle in Transport,1,1,62,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,10,2016-10-15 20:10:00 UTC,29.65590278,-95.56316389,Interstate,Motor Vehicle in Transport,1,1,62,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,5,2016-05-10 07:40:00 UTC,32.73982778,-97.280775,State Highway,Pedestrian,1,0,59,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,11,2016-11-23 22:45:00 UTC,32.47466667,-99.70655,State Highway,Pedalcyclist,1,1,21,Female,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Texas,9,2016-09-05 18:44:00 UTC,29.69193056,-96.77579167,Interstate,Pedestrian,1,0,40,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Texas,7,2016-07-08 15:09:00 UTC,30.05186389,-97.19654722,State Highway,Pedalcyclist,1,0,62,Male,Bicyclist,No (Alcohol Not Involved),Yes (Drugs Involved),Not Reported
Texas,9,2016-09-30 04:47:00 UTC,29.50848333,-98.47732778,U.S. Highway,Pedestrian,1,0,25,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,Not Reported
Texas,12,2016-12-28 18:06:00 UTC,33.00468611,-97.04528056,Local Street – Municipality,Pedalcyclist,1,0,25,Male,Bicyclist,Not Reported,Not Reported,Not Reported
Texas,1,2016-01-08 00:30:00 UTC,29.74454722,-95.38599444,Local Street – Municipality,Pedestrian,1,0,21,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),Not Reported
Texas,5,2016-05-08 22:48:00 UTC,29.4979,-95.44300833,State Highway,Pedestrian,1,0,61,Male,Pedestrian,Not Reported,Not Reported,Not Reported
